summary,product,comp,updated,lemmatized_str,cluster_labels,cluster1,cluster2,common_words
firefox freezes with js based modal dialog and one modal print dialog open at the same time        ,Toolkit,Printing        ,2016-02-21    ,firefox freeze j based modal dialog one modal print dialog open time ,0,open,open,open
application/json propoed to be saved/opened instead of showing it like *.js resource        ,Firefox,General        ,2022-10-10    ,applicationjson propoed savedopened instead showing like j resource ,0,"open, show","open, opened",open
"in mavericks on mac, notifications from facebook no longer open firefox 29 (beta) when clicked on.  (other notifications such as those from linkedin still work)        ",Firefox,Shell Integration        ,2022-10-11    ,maverick mac notification facebook longer open firefox 29 beta clicked notification linkedin still work ,0,"open, work",open,open
1.05ms uninterruptible reflow at openpopup/this._openpopuppromise<@resource:///modules/panelmultiview.jsm:518:9        ,Firefox,Menus        ,2022-10-11    ,105ms uninterruptible reflow openpopupthisopenpopuppromiseresourcemodulespanelmultiviewjsm5189 ,0,open,open,open
previously opened firefox window is not focused when opening a link from other applications        ,Core,Widget: Gtk        ,2022-05-18    ,previously opened firefox window focused opening link application ,1,open,"window, open, opening, opened",open
when firefox is opened it causes windows explorer to stop responding        ,Core,Widget: Win32        ,2022-11-03    ,firefox opened cause window explorer stop responding ,1,open,"window, open, opened",open
open downloaded .po translation file in default app        ,Firefox,Downloads Panel        ,2022-10-11    ,open downloaded po translation file default app ,0,"file, open",open,open
firefox crashes opening download list from download panel on fedora 35.        ,Core,Widget: Gtk        ,2022-04-27    ,firefox crash opening download list download panel fedora 35 ,0,open,"open, opening",open
firefox hangs when i want to open the options window        ,Core,Graphics: ImageLib        ,2022-10-10    ,firefox hang want open option window ,1,"open, option","window, open",open
firefox extension panel doesnt pop up when more than one window is opened        ,Core,General        ,2022-10-11    ,firefox extension panel doesnt pop one window opened ,1,open,"window, open, opened",open
external programs executed from file:// or mailto: open in background without focus        ,Firefox,File Handling        ,2022-10-11    ,external program executed file mailto open background without focus ,0,"file, open",open,open
mac os x: cmd-alt-f and cmd-k do not open a new window when no window is available        ,Firefox,Search        ,2021-01-14    ,mac o x cmdaltf cmdk open new window window available ,1,open,"window, open",open
opening a file downloaded as application/octet-stream has inconsistent behavior in firefox        ,Firefox,File Handling        ,2022-10-11    ,opening file downloaded applicationoctetstream inconsistent behavior firefox ,0,"file, open","open, opening",open
"list of open pages with functionality to search, save, close, move alongside bookmarks and history        ",Firefox,General        ,2022-10-11    ,list open page functionality search save close move alongside bookmark history ,0,"page, bookmark, open, search","open, close",open
firefox opening problem        ,Firefox,General        ,2022-10-10    ,firefox opening problem ,0,open,"open, opening",open
"files won't open when set to ""open with"" instead of saving, will open when double clicked from download library        ",Firefox,Downloads Panel        ,2022-10-10    ,file wont open set open instead saving open double clicked download library ,0,"file, open",open,open
open containing folder doesn't highlight/select file in dolphin (kde)        ,Firefox,Shell Integration        ,2022-10-11    ,open containing folder doesnt highlightselect file dolphin kde ,0,"file, open",open,open
"firefox on linux doesn't work with some openlayers3 examples, but firefox on windows and chromium on linux both work fine.        ",Core,Graphics: Canvas2D        ,2022-10-11    ,firefox linux doesnt work openlayers3 example firefox window chromium linux work fine ,1,"open, work","window, open",open
bring to foreground when launching open profile from command line        ,Firefox,Shell Integration        ,2022-10-10    ,bring foreground launching open profile command line ,0,"file, open",open,open
"second window is forgotten by autoopen at ubuntu 18.04 login after have used firefox on another support (android, ios), same ff account        ",Core,Widget: Gtk        ,2021-11-22    ,second window forgotten autoopen ubuntu 1804 login used firefox another support android io ff account ,1,open,"window, open",open
"nightly, after a restart (of the browser) loses an opened window        ",Firefox,General        ,2022-10-10    ,nightly restart browser loses opened window ,1,open,"window, open, browser, opened",open
permission doorhangers shouldn't open if you already made a decision on that permission        ,Firefox,Site Permissions        ,2022-10-11    ,permission doorhangers shouldnt open already made decision permission ,0,open,open,open
pressing ctrl+p should open print preview        ,Firefox,Keyboard Navigation        ,2022-10-11    ,pressing ctrlp open print preview ,0,open,open,open
opening the pocket subview in m-bc leads to leaked windows and a docshell        ,Firefox,Pocket        ,2022-10-11    ,opening pocket subview mbc lead leaked window docshell ,1,open,"window, open, opening",open
drop support for insecure opensearch plugins (require https)        ,Firefox,Search        ,2022-10-10    ,drop support insecure opensearch plugins require http ,0,"open, search",open,open
unvisible scrool when i opened page.        ,Firefox,General        ,2022-10-10    ,unvisible scrool opened page ,0,"page, open","open, opened",open
"new page ""about:blank"" opened while downloading some files (google chrome setup)        ",Firefox,Tabbed Browser        ,2022-10-11    ,new page aboutblank opened downloading file google chrome setup ,0,"page, file, open","open, opened",open
can't open second ff window        ,Firefox,General        ,2022-10-10    ,cant open second ff window ,1,open,"window, open",open
"update notification rcd, update allowed, reboot system, unable to open firefox to access internet.  have to go to another browser and reload mozilla before firefox will work.        ",Cloud Services,Firefox: Common        ,2013-03-08    ,update notification rcd update allowed reboot system unable open firefox access internet go another browser reload mozilla firefox work ,0,"open, work","open, browser",open
"""restart with addons disabled"", then ""refresh firefox"", opens about:sessionrestore ""sorry""        ",Firefox,Session Restore        ,2022-10-11    ,restart addons disabled refresh firefox open aboutsessionrestore sorry ,0,"add, open",open,open
"since i installed firefox 7.1, when i try to open a webpage in firefox, it frequently spins its wheels endlessly, never fully loading the page and chewing up massive amounts of cpus, and tying up my whole computer.        ",Firefox,General        ,2022-10-10    ,since installed firefox 71 try open webpage firefox frequently spin wheel endlessly never fully loading page chewing massive amount cpu tying whole computer ,0,"page, open",open,open
scrolling stucks for a while on a newly opened page        ,Firefox,General        ,2022-10-10    ,scrolling stucks newly opened page ,0,"page, open","open, opened",open
reopening immediately after closing firefox does not work        ,Firefox,General        ,2022-10-10    ,reopening immediately closing firefox work ,0,"open, work","open, opening",open
